Customer_ID,Age,Gender,Location,Channel,Marketing_Exposure,Flavor,Pack_Size,Price_Per_Unit,Order_Date,Units_Purchased,Total_Bill_Value,Discount_Used,Customer_Rating,Repeat_Purchase,Time_to_Reorder,Month,Promotion_Campaign,Avg_Order_Value,Customer_Segment
C0072,44,Female,Delhi,Online,Email,Rum Punch,12-Pack,400,01-05-2025,12,4800,Yes,5,Yes,25,May,Yes,400,Gen X
C0073,43,Male,Bangalore,Online,Social Media,Long Island,Single,250,23-05-2025,1,250,Yes,4,Yes,23,May,No,250,Gen X
C0074,24,Male,Delhi,Online,Email,Long Island,4-Pack,350,17-05-2025,4,1400,No,4,Yes,18,May,Yes,350,Gen Z
C0075,25,Male,Delhi,Online,Email,Margarita,4-Pack,350,15-06-2025,4,1400,No,4,Yes,28,Jun,Yes,350,Gen Z
C0076,43,Female,Hyderabad,Online,None,Long Island,Single,250,05-01-2025,1,250,No,3,No,0,Jan,Yes,250,Gen X
C0077,28,Female,Ahmedabad,Retail,None,Whisky Sour,12-Pack,400,07-01-2025,12,4800,No,3,No,0,Jan,No,400,Millennial
C0078,26,Male,Ahmedabad,Retail,None,Long Island,4-Pack,350,20-05-2025,4,1400,Yes,5,Yes,0,May,No,350,Millennial
C0079,21,Male,Bangalore,Retail,Email,Long Island,4-Pack,350,05-05-2025,4,1400,Yes,4,No,0,May,Yes,350,Gen Z
C0080,23,Male,Hyderabad,Online,Social Media,Mojito,Single,250,28-12-2024,1,250,Yes,5,Yes,0,Dec,Yes,250,Gen Z
C0081,25,Male,Kolkata,Online,Social Media,Cosmopolitan,4-Pack,350,09-03-2025,4,1400,No,3,No,0,Mar,No,350,Gen Z
C0082,38,Male,Delhi,Online,Email,Whisky Sour,12-Pack,400,11-02-2025,12,4800,Yes,5,Yes,14,Feb,No,400,Gen X
C0083,34,Male,Kolkata,Retail,None,Mojito,Single,250,25-03-2025,1,250,Yes,4,No,0,Mar,Yes,250,Millennial
C0084,30,Female,Delhi,Online,None,Gin Fizz,4-Pack,350,28-06-2025,4,1400,No,4,No,0,Jun,No,350,Millennial
C0085,37,Male,Delhi,Retail,Social Media,Rum Punch,4-Pack,350,09-03-2025,8,2800,No,3,No,0,Mar,No,350,Gen X
C0086,28,Female,Hyderabad,Retail,Social Media,Rum Punch,12-Pack,400,01-06-2025,12,4800,No,4,No,0,Jun,No,400,Millennial
C0087,25,Male,Delhi,Retail,Social Media,Margarita,Single,250,07-05-2025,1,250,No,4,No,0,May,Yes,250,Gen Z
C0088,33,Male,Pune,Online,None,Gin Fizz,Single,250,04-06-2025,1,250,No,5,Yes,0,Jun,No,250,Millennial
C0089,22,Male,Kolkata,Online,Email,Rum Punch,4-Pack,350,18-06-2025,4,1400,No,5,No,0,Jun,Yes,350,Gen Z
C0090,26,Female,Kolkata,Online,Social Media,Margarita,12-Pack,400,12-01-2025,12,4800,No,4,No,0,Jan,Yes,400,Millennial
C0091,31,Female,Mumbai,Retail,Email,Mojito,4-Pack,350,25-01-2025,8,2800,No,3,No,0,Jan,No,350,Millennial
C0092,42,Female,Bangalore,Online,Social Media,Long Island,12-Pack,400,07-01-2025,24,9600,Yes,4,Yes,0,Jan,No,400,Gen X
C0093,21,Female,Mumbai,Retail,Email,Long Island,4-Pack,350,13-02-2025,4,1400,Yes,4,No,0,Feb,Yes,350,Gen Z
C0094,29,Female,Pune,Online,Social Media,Mojito,12-Pack,400,13-01-2025,24,9600,No,4,No,0,Jan,No,400,Millennial
C0095,32,Female,Chennai,Retail,Social Media,Mojito,4-Pack,350,19-01-2025,4,1400,Yes,4,No,0,Jan,Yes,350,Millennial
C0096,38,Male,Kolkata,Retail,Social Media,Rum Punch,12-Pack,400,16-06-2025,12,4800,No,3,No,0,Jun,No,400,Gen X
C0097,21,Female,Ahmedabad,Online,Social Media,Cosmopolitan,4-Pack,350,15-02-2025,4,1400,Yes,4,No,0,Feb,Yes,350,Gen Z
C0098,36,Female,Kolkata,Online,Social Media,Gin Fizz,4-Pack,350,07-04-2025,4,1400,No,4,Yes,12,Apr,Yes,350,Gen X
C0099,21,Male,Mumbai,Online,Social Media,Mojito,4-Pack,350,03-02-2025,4,1400,No,4,No,0,Feb,No,350,Gen Z
C0100,38,Female,Delhi,Retail,Social Media,Margarita,4-Pack,350,20-06-2025,4,1400,Yes,4,Yes,21,Jun,Yes,350,Gen X
C0101,21,Female,Pune,Online,Email,Margarita,12-Pack,400,02-05-2025,24,9600,No,5,No,0,May,No,400,Gen Z
C0102,42,Male,Chennai,Online,Social Media,Gin Fizz,12-Pack,400,12-02-2025,12,4800,Yes,4,Yes,0,Feb,No,400,Gen X
C0103,38,Female,Mumbai,Retail,None,Gin Fizz,Single,250,20-06-2025,1,250,Yes,4,Yes,0,Jun,No,250,Gen X
C0104,26,Female,Delhi,Retail,Social Media,Cosmopolitan,12-Pack,400,11-05-2025,12,4800,No,5,Yes,30,May,No,400,Millennial
C0105,37,Male,Chennai,Online,Email,Whisky Sour,4-Pack,350,11-06-2025,4,1400,No,4,No,0,Jun,No,350,Gen X
C0106,33,Female,Mumbai,Retail,Email,Rum Punch,12-Pack,400,07-02-2025,12,4800,No,4,Yes,11,Feb,No,400,Millennial
C0107,32,Female,Chennai,Online,Social Media,Cosmopolitan,Single,250,17-05-2025,1,250,No,5,Yes,18,May,No,250,Millennial
C0108,27,Male,Pune,Online,None,Long Island,4-Pack,350,10-01-2025,4,1400,No,4,No,0,Jan,Yes,350,Millennial
C0109,41,Male,Hyderabad,Retail,Social Media,Margarita,Single,250,01-05-2025,1,250,Yes,4,No,0,May,Yes,250,Gen X
C0110,23,Male,Mumbai,Retail,Social Media,Long Island,12-Pack,400,13-02-2025,12,4800,No,4,Yes,25,Feb,No,400,Gen Z
C0111,37,Female,Pune,Online,Email,Margarita,Single,250,22-06-2025,1,250,No,3,Yes,23,Jun,No,250,Gen X
C0112,31,Male,Kolkata,Online,Social Media,Mojito,Single,250,30-01-2025,1,250,Yes,3,No,0,Jan,Yes,250,Millennial
C0113,32,Female,Ahmedabad,Online,Social Media,Cosmopolitan,12-Pack,400,04-03-2025,12,4800,No,4,Yes,0,Mar,No,400,Millennial
C0114,41,Male,Ahmedabad,Retail,Email,Whisky Sour,4-Pack,350,28-04-2025,8,2800,No,4,No,0,Apr,Yes,350,Gen X
C0115,35,Male,Ahmedabad,Online,Email,Gin Fizz,12-Pack,400,02-04-2025,12,4800,No,4,Yes,13,Apr,Yes,400,Millennial
C0116,28,Female,Hyderabad,Retail,None,Whisky Sour,4-Pack,350,01-03-2025,8,2800,No,4,No,0,Mar,Yes,350,Millennial
C0117,44,Female,Pune,Online,Social Media,Long Island,Single,250,05-01-2025,1,250,No,4,No,0,Jan,Yes,250,Gen X
C0118,35,Male,Bangalore,Retail,Email,Margarita,4-Pack,350,01-06-2025,4,1400,No,4,No,0,Jun,No,350,Millennial
C0119,23,Male,Mumbai,Retail,Social Media,Gin Fizz,12-Pack,400,24-03-2025,12,4800,No,5,No,0,Mar,Yes,400,Gen Z
C0120,37,Male,Delhi,Online,Social Media,Cosmopolitan,4-Pack,350,23-01-2025,8,2800,No,5,Yes,0,Jan,No,350,Gen X
C0121,37,Female,Hyderabad,Online,Social Media,Whisky Sour,Single,250,03-03-2025,1,250,Yes,4,Yes,7,Mar,No,250,Gen X
C0122,29,Male,Ahmedabad,Online,Social Media,Long Island,Single,250,18-02-2025,1,250,No,5,Yes,12,Feb,No,250,Millennial
C0123,34,Female,Kolkata,Retail,None,Cosmopolitan,12-Pack,400,17-06-2025,12,4800,Yes,4,No,0,Jun,Yes,400,Millennial
C0124,39,Male,Bangalore,Online,Social Media,Gin Fizz,Single,250,25-05-2025,1,250,Yes,3,No,0,May,Yes,250,Gen X
C0125,25,Female,Hyderabad,Retail,Social Media,Whisky Sour,4-Pack,350,10-03-2025,4,1400,No,4,Yes,0,Mar,No,350,Gen Z
C0126,23,Male,Hyderabad,Retail,Social Media,Rum Punch,Single,250,16-03-2025,1,250,No,4,Yes,8,Mar,No,250,Gen Z
C0127,23,Female,Delhi,Online,Social Media,Margarita,Single,250,18-06-2025,1,250,No,3,No,0,Jun,No,250,Gen Z
C0128,31,Female,Delhi,Online,Social Media,Cosmopolitan,Single,250,25-03-2025,1,250,Yes,5,Yes,12,Mar,Yes,250,Millennial
C0129,33,Female,Delhi,Retail,None,Mojito,Single,250,20-06-2025,1,250,No,4,No,0,Jun,No,250,Millennial
C0130,28,Male,Pune,Retail,Email,Whisky Sour,Single,250,12-02-2025,1,250,No,5,No,0,Feb,No,250,Millennial
C0131,36,Female,Chennai,Retail,None,Cosmopolitan,4-Pack,350,05-04-2025,4,1400,No,5,Yes,17,Apr,No,350,Gen X
C0132,39,Female,Ahmedabad,Retail,Social Media,Whisky Sour,12-Pack,400,10-06-2025,12,4800,No,3,No,0,Jun,No,400,Gen X
C0133,32,Male,Hyderabad,Online,Social Media,Cosmopolitan,4-Pack,350,14-04-2025,8,2800,No,4,No,0,Apr,No,350,Millennial
C0134,23,Female,Bangalore,Online,Social Media,Rum Punch,Single,250,01-05-2025,1,250,No,5,Yes,0,May,No,250,Gen Z
C0135,42,Male,Ahmedabad,Retail,Email,Margarita,Single,250,28-12-2024,1,250,Yes,5,Yes,0,Dec,Yes,250,Gen X
C0136,44,Female,Pune,Online,None,Rum Punch,12-Pack,400,29-01-2025,24,9600,No,3,No,0,Jan,Yes,400,Gen X
C0137,31,Female,Hyderabad,Retail,Social Media,Rum Punch,12-Pack,400,24-03-2025,12,4800,Yes,3,No,0,Mar,No,400,Millennial
C0138,23,Female,Ahmedabad,Online,Social Media,Cosmopolitan,4-Pack,350,26-02-2025,4,1400,Yes,3,No,0,Feb,No,350,Gen Z
C0139,23,Female,Kolkata,Retail,Social Media,Margarita,4-Pack,350,17-02-2025,8,2800,No,4,Yes,11,Feb,Yes,350,Gen Z
C0140,26,Female,Delhi,Online,Social Media,Long Island,Single,250,12-06-2025,1,250,No,4,No,0,Jun,No,250,Millennial
C0141,28,Male,Pune,Online,Social Media,Gin Fizz,Single,250,12-06-2025,1,250,Yes,4,Yes,13,Jun,No,250,Millennial
C0142,32,Female,Chennai,Online,None,Gin Fizz,4-Pack,350,09-05-2025,4,1400,No,3,Yes,0,May,No,350,Millennial
C0143,26,Male,Ahmedabad,Online,Social Media,Long Island,4-Pack,350,11-05-2025,4,1400,No,4,No,0,May,Yes,350,Millennial
C0144,41,Male,Delhi,Online,Social Media,Rum Punch,4-Pack,350,02-05-2025,4,1400,Yes,4,No,0,May,No,350,Gen X
C0145,28,Male,Ahmedabad,Retail,Email,Whisky Sour,Single,250,20-01-2025,1,250,Yes,4,Yes,0,Jan,Yes,250,Millennial
C0146,21,Female,Delhi,Online,Social Media,Gin Fizz,Single,250,14-02-2025,1,250,No,3,No,0,Feb,Yes,250,Gen Z
C0147,40,Male,Pune,Online,Social Media,Cosmopolitan,12-Pack,400,12-01-2025,12,4800,No,5,Yes,18,Jan,No,400,Gen X
C0148,23,Male,Bangalore,Retail,Email,Margarita,4-Pack,350,14-01-2025,4,1400,Yes,5,No,0,Jan,No,350,Gen Z
C0149,40,Male,Ahmedabad,Online,None,Margarita,Single,250,06-04-2025,1,250,No,4,No,0,Apr,No,250,Gen X
C0150,23,Male,Kolkata,Online,Social Media,Gin Fizz,4-Pack,350,08-01-2025,4,1400,No,4,Yes,0,Jan,Yes,350,Gen Z
C0151,34,Female,Kolkata,Online,Social Media,Long Island,4-Pack,350,19-05-2025,4,1400,No,4,No,0,May,Yes,350,Millennial
C0152,44,Female,Chennai,Retail,Email,Margarita,Single,250,19-06-2025,1,250,No,3,Yes,7,Jun,No,250,Gen X
C0153,41,Female,Mumbai,Retail,Email,Whisky Sour,4-Pack,350,14-03-2025,4,1400,No,5,Yes,23,Mar,No,350,Gen X
C0154,24,Male,Bangalore,Online,Social Media,Margarita,4-Pack,350,13-06-2025,4,1400,No,4,No,0,Jun,Yes,350,Gen Z
C0155,32,Male,Ahmedabad,Online,Social Media,Gin Fizz,12-Pack,400,19-06-2025,12,4800,No,4,No,0,Jun,No,400,Millennial
C0156,34,Male,Chennai,Retail,Social Media,Mojito,12-Pack,400,24-02-2025,12,4800,Yes,5,Yes,30,Feb,Yes,400,Millennial
C0157,22,Male,Hyderabad,Online,Email,Mojito,Single,250,24-02-2025,1,250,No,5,Yes,0,Feb,No,250,Gen Z
C0158,24,Female,Bangalore,Retail,Social Media,Margarita,Single,250,04-04-2025,1,250,Yes,3,No,0,Apr,Yes,250,Gen Z
C0159,29,Female,Kolkata,Online,Social Media,Whisky Sour,4-Pack,350,30-05-2025,4,1400,Yes,3,Yes,11,May,No,350,Millennial
C0160,25,Male,Mumbai,Retail,Email,Margarita,4-Pack,350,15-04-2025,8,2800,No,4,Yes,0,Apr,Yes,350,Gen Z
C0161,25,Male,Delhi,Retail,Social Media,Gin Fizz,Single,250,12-03-2025,1,250,No,5,Yes,23,Mar,Yes,250,Gen Z
C0162,30,Female,Kolkata,Online,Social Media,Margarita,4-Pack,350,23-02-2025,4,1400,Yes,5,Yes,30,Feb,No,350,Millennial
C0163,43,Female,Pune,Retail,Social Media,Gin Fizz,Single,250,06-03-2025,1,250,Yes,5,Yes,0,Mar,No,250,Gen X
C0164,21,Male,Pune,Retail,Social Media,Mojito,Single,250,28-01-2025,1,250,No,4,No,0,Jan,No,250,Gen Z
C0165,31,Male,Chennai,Retail,Social Media,Cosmopolitan,4-Pack,350,11-01-2025,8,2800,No,3,No,0,Jan,No,350,Millennial
C0166,21,Male,Kolkata,Retail,None,Cosmopolitan,12-Pack,400,04-05-2025,12,4800,No,4,Yes,12,May,No,400,Gen Z
C0167,29,Male,Mumbai,Retail,Email,Whisky Sour,Single,250,14-03-2025,1,250,Yes,3,No,0,Mar,No,250,Millennial
C0168,24,Female,Kolkata,Retail,None,Gin Fizz,4-Pack,350,09-04-2025,4,1400,No,5,Yes,28,Apr,Yes,350,Gen Z
C0169,35,Male,Delhi,Retail,Email,Margarita,4-Pack,350,08-06-2025,4,1400,No,4,Yes,0,Jun,Yes,350,Millennial
C0170,31,Male,Bangalore,Retail,Email,Mojito,4-Pack,350,13-04-2025,4,1400,No,5,Yes,0,Apr,Yes,350,Millennial
C0171,32,Female,Chennai,Online,Email,Mojito,Single,250,07-06-2025,1,250,No,4,Yes,0,Jun,No,250,Millennial
C0172,31,Female,Kolkata,Online,Social Media,Whisky Sour,Single,250,23-06-2025,1,250,No,5,Yes,17,Jun,Yes,250,Millennial
C0173,41,Female,Pune,Online,Social Media,Gin Fizz,Single,250,28-02-2025,1,250,No,4,No,0,Feb,No,250,Gen X
C0174,23,Male,Mumbai,Online,Social Media,Gin Fizz,4-Pack,350,21-04-2025,4,1400,No,5,Yes,13,Apr,No,350,Gen Z
C0175,27,Male,Ahmedabad,Online,Email,Gin Fizz,Single,250,11-05-2025,1,250,No,4,No,0,May,No,250,Millennial
C0176,27,Male,Mumbai,Retail,Social Media,Long Island,4-Pack,350,30-12-2024,4,1400,Yes,4,Yes,0,Dec,Yes,350,Millennial
C0177,30,Male,Kolkata,Online,Social Media,Long Island,12-Pack,400,22-05-2025,12,4800,No,4,Yes,30,May,No,400,Millennial
C0178,27,Female,Bangalore,Retail,Social Media,Cosmopolitan,4-Pack,350,22-06-2025,4,1400,No,3,No,0,Jun,No,350,Millennial
C0179,43,Male,Hyderabad,Online,Social Media,Gin Fizz,Single,250,18-03-2025,1,250,Yes,4,No,0,Mar,Yes,250,Gen X
C0180,33,Male,Kolkata,Online,Social Media,Mojito,12-Pack,400,24-05-2025,12,4800,No,4,Yes,13,May,No,400,Millennial
C0181,27,Female,Delhi,Online,None,Whisky Sour,4-Pack,350,14-04-2025,4,1400,No,5,Yes,11,Apr,No,350,Millennial
C0182,29,Female,Hyderabad,Online,Social Media,Cosmopolitan,Single,250,19-03-2025,1,250,Yes,4,Yes,0,Mar,Yes,250,Millennial
C0183,41,Male,Mumbai,Online,Email,Gin Fizz,4-Pack,350,05-06-2025,4,1400,No,3,Yes,0,Jun,Yes,350,Gen X
C0184,23,Female,Kolkata,Retail,Social Media,Long Island,Single,250,15-04-2025,1,250,No,5,Yes,21,Apr,Yes,250,Gen Z
C0185,30,Female,Bangalore,Online,Social Media,Long Island,4-Pack,350,22-06-2025,4,1400,No,5,No,0,Jun,Yes,350,Millennial
C0186,39,Female,Pune,Online,None,Long Island,12-Pack,400,10-06-2025,12,4800,No,4,No,0,Jun,Yes,400,Gen X
C0187,27,Male,Delhi,Retail,Email,Gin Fizz,4-Pack,350,27-02-2025,4,1400,Yes,3,Yes,0,Feb,Yes,350,Millennial
C0188,22,Female,Mumbai,Retail,Email,Rum Punch,Single,250,06-01-2025,1,250,No,4,No,0,Jan,No,250,Gen Z
C0189,23,Female,Ahmedabad,Retail,Email,Cosmopolitan,4-Pack,350,05-03-2025,4,1400,No,4,Yes,19,Mar,No,350,Gen Z
C0190,30,Male,Ahmedabad,Retail,None,Long Island,4-Pack,350,02-06-2025,4,1400,Yes,4,Yes,8,Jun,Yes,350,Millennial
C0191,40,Female,Pune,Online,None,Mojito,4-Pack,350,09-02-2025,4,1400,Yes,4,Yes,0,Feb,No,350,Gen X
C0192,40,Female,Pune,Online,Social Media,Gin Fizz,Single,250,23-02-2025,1,250,No,3,Yes,0,Feb,Yes,250,Gen X
C0193,32,Male,Delhi,Retail,Social Media,Cosmopolitan,Single,250,23-02-2025,1,250,No,4,Yes,0,Feb,Yes,250,Millennial
